ts_code,maxlags,group_value,marginal_effect_vs_all,se_effect,z_effect,p_value_effect,q_value_effect
dji,0,甲,-0.0001769046398860013,0.0005081106460821283,-0.34816164796005344,0.7277187885296346,0.9649515113075278
dji,0,乙,-2.2576013922547856e-05,0.0005137812982615427,-0.04394090247920111,0.9649515113075279,0.9649515113075278
dji,0,丙,0.00018870171813965613,0.0004847653163328556,0.3892640660993318,0.6970808152550546,0.9649515113075278
dji,0,丁,7.387962821656861e-05,0.00046976846820704396,0.15726817191145984,0.8750335032178572,0.9649515113075278
dji,0,戊,-0.00013882216728169553,0.0005655094078852468,-0.24548162302167265,0.8060835356403406,0.9649515113075278
dji,0,己,0.0005601747996235198,0.00048510863216395724,1.1547409435381715,0.2481965274999658,0.9649515113075278
dji,0,庚,-0.00036727378996807,0.0004723968391411102,-0.7774687710354495,0.4368822521833552,0.9649515113075278
dji,0,辛,0.0003640873024939647,0.00048021254235228075,0.7581794942516782,0.44834353529303217,0.9649515113075278
dji,0,壬,-8.48229599756655e-05,0.0004541006500725125,-0.1867933022384368,0.851822698531047,0.9649515113075278
dji,0,癸,-0.00039542397996752526,0.00046383934619505094,-0.8525020208208984,0.39393551788353065,0.9649515113075278
dji,1,甲,-0.0001769046398860013,0.0005081834017999071,-0.3481118022734162,0.7277562210937332,0.9659620593963061
dji,1,乙,-2.2576013922547856e-05,0.0005290445651069791,-0.042673179938976694,0.965962059396306,0.9659620593963061
dji,1,丙,0.00018870171813965613,0.00048820402267399273,0.3865222517137374,0.6991099261527198,0.9659620593963061
dji,1,丁,7.387962821656861e-05,0.00046956027178813274,0.15733790240649512,0.8749785504381916,0.9659620593963061
dji,1,戊,-0.00013882216728169553,0.0005753493930827154,-0.24128324275774046,0.8093355976236714,0.9659620593963061
dji,1,己,0.0005601747996235198,0.0004901695687692486,1.1428183945201762,0.25311399990355765,0.9659620593963061
dji,1,庚,-0.00036727378996807,0.0004734757098207883,-0.7756972160347654,0.4379277840454572,0.9659620593963061
dji,1,辛,0.0003640873024939647,0.0004824440381459341,0.7546726121710977,0.45044544346972326,0.9659620593963061
dji,1,壬,-8.48229599756655e-05,0.0004550592440527087,-0.1863998173517832,0.8521312356518,0.9659620593963061
dji,1,癸,-0.00039542397996752526,0.00045746825383721524,-0.8643746897205073,0.3873820921562393,0.9659620593963061
dji,3,甲,-0.0001769046398860013,0.0005068678757867328,-0.34901529241998125,0.727077828919811,0.9666099459464068
dji,3,乙,-2.2576013922547856e-05,0.0005393160970380826,-0.041860448902851184,0.9666099459464067,0.9666099459464068
dji,3,丙,0.00018870171813965613,0.0004911301838666621,0.38421934619047393,0.7008158805697768,0.9666099459464068
dji,3,丁,7.387962821656861e-05,0.00046605880157486116,0.1585199720870448,0.8740470841825096,0.9666099459464068
dji,3,戊,-0.00013882216728169553,0.0005634680116691681,-0.2463709818601075,0.8053950671577977,0.9666099459464068
dji,3,己,0.0005601747996235198,0.000494373801739151,1.1330996862149418,0.2571723931313965,0.9666099459464068
dji,3,庚,-0.00036727378996807,0.00047137321377275056,-0.7791571078647097,0.4358871730317714,0.9666099459464068
dji,3,辛,0.0003640873024939647,0.000475766532638081,0.7652646361549115,0.44411397761966065,0.9666099459464068
dji,3,壬,-8.48229599756655e-05,0.00046477125020488497,-0.18250474817078935,0.855186628435288,0.9666099459464068
dji,3,癸,-0.00039542397996752526,0.0004559256903731688,-0.8672991856279828,0.3857781027844833,0.9666099459464068
dji,5,甲,-0.0001769046398860013,0.0005086863714853549,-0.3477676025985186,0.7280147220941465,0.967111426515854
dji,5,乙,-2.2576013922547856e-05,0.0005475442855962199,-0.04123139354466061,0.9671114265158539,0.967111426515854
dji,5,丙,0.00018870171813965613,0.0004947474974821072,0.38141015184514543,0.7028989292517307,0.967111426515854
dji,5,丁,7.387962821656861e-05,0.00046201953041267524,0.15990585538792995,0.8729552359437907,0.967111426515854
dji,5,戊,-0.00013882216728169553,0.0005604306349014882,-0.2477062434427723,0.8043617008281202,0.967111426515854
dji,5,己,0.0005601747996235198,0.00049960925017193,1.1212258368529955,0.2621917446221508,0.967111426515854
dji,5,庚,-0.00036727378996807,0.0004694883912993808,-0.7822851358509283,0.4340470203953648,0.967111426515854
dji,5,辛,0.0003640873024939647,0.0004712019801932361,0.7726777853196958,0.43971309688609417,0.967111426515854
dji,5,壬,-8.48229599756655e-05,0.00046804242630259945,-0.18122921173138606,0.8561876665833112,0.967111426515854
dji,5,癸,-0.00039542397996752526,0.0004583118234484933,-0.8627837200276034,0.38825639172947635,0.967111426515854
dji,10,甲,-0.0001769046398860013,0.0005122726491896247,-0.3453329787679482,0.7298440564089814,0.9658260912598149
dji,10,乙,-2.2576013922547856e-05,0.0005269383685079491,-0.04284374657794011,0.9658260912598148,0.9658260912598149
dji,10,丙,0.00018870171813965613,0.0005087305833111215,0.37092662468112897,0.7106921839054032,0.9658260912598149
dji,10,丁,7.387962821656861e-05,0.0004567481151031567,0.16175135873277288,0.8715016586103139,0.9658260912598149
dji,10,戊,-0.00013882216728169553,0.0005350462594929343,-0.2594582521018984,0.7952816893171764,0.9658260912598149
dji,10,己,0.0005601747996235198,0.000473094956205734,1.1840641974206918,0.23638765122044636,0.9658260912598149
dji,10,庚,-0.00036727378996807,0.00045250884682432026,-0.8116389161130775,0.41699885408425885,0.9658260912598149
dji,10,辛,0.0003640873024939647,0.0004655276232647925,0.7820960224456361,0.4341581441468829,0.9658260912598149
dji,10,壬,-8.48229599756655e-05,0.00045337644202657085,-0.18709167948054584,0.8515887517880647,0.9658260912598149
dji,10,癸,-0.00039542397996752526,0.0004618050545550675,-0.8562573667551168,0.3918554374449421,0.9658260912598149
