ts_code,target,group_col,group_value,marginal_mean,marginal_effect_vs_all,marginal_mean_all,se_effect,z_effect,p_value_effect,q_value_effect,coef,p_value,q_value
spx,up,branch,子,0.5592169999499685,0.012708241005976673,0.5465087589439919,0.02568050995347788,0.4948593711339292,0.6206993916807599,0.8321818335143757,,,
spx,up,branch,丑,0.5006385211382923,-0.04587023780569954,0.5465087589439919,0.026136884674315745,-1.755000199039613,0.07925927371256186,0.47555564227537117,-0.23795216029868752,0.125648500622669,0.8940883719193128
spx,up,branch,寅,0.5406325613056816,-0.005876197638310265,0.5465087589439919,0.026259076156127124,-0.2237777750965984,0.8229302243433954,0.8977420629200676,-0.07590073169804451,0.6242373644803048,0.9985946459594313
spx,up,branch,卯,0.5458704231162589,-0.0006383358277329831,0.5465087589439919,0.02594878256557213,-0.024599837241686365,0.9803741491236827,0.9803741491236827,-0.054564678880501025,0.7277083186154721,0.9985946459594313
spx,up,branch,辰,0.5279999590299507,-0.018508799914041196,0.5465087589439919,0.025660374390234927,-0.721298903615558,0.47072563139795376,0.8321818335143757,-0.12721755704043036,0.40640380541786947,0.8940883719193128
spx,up,branch,巳,0.5708243970053242,0.0243156380613323,0.5465087589439919,0.025440040998836014,0.9558018425538245,0.3391723572705525,0.814013657449326,0.04773612657567425,0.7615426355340541,0.9985946459594313
spx,up,branch,午,0.5189961163897606,-0.027512642554231248,0.5465087589439919,0.02566767811056892,-1.0718788990462929,0.28377442898066374,0.814013657449326,-0.16370032837109166,0.2890644159782604,0.8940883719193128
spx,up,branch,未,0.5641606281581427,0.01765186921415085,0.5465087589439919,0.026417057265360415,0.6681996801096014,0.5040061396294298,0.8321818335143757,0.020295425626469413,0.8975183694493364,0.9985946459594313
spx,up,branch,申,0.5548661042991854,0.008357345355193502,0.5465087589439919,0.026001393421974,0.3214191339503612,0.7478927849720459,0.8974713419664552,-0.017822181647456765,0.9102334077540726,0.9985946459594313
spx,up,branch,酉,0.559150722396924,0.012641963452932115,0.5465087589439919,0.025800109671795475,0.4899965005479117,0.6241363751357818,0.8321818335143757,-0.00027175839396381354,0.9985946459594313,0.9985946459594313
spx,up,branch,戌,0.5189914706218355,-0.027517288322156386,0.5465087589439919,0.026020830101849586,-1.0575100108047832,0.29027888826673043,0.814013657449326,-0.16371913752447817,0.2821466666829969,0.8940883719193128
spx,up,branch,亥,0.5971053190101254,0.050596560066133556,0.5465087589439919,0.025924754304745456,1.9516698006612156,0.05097742024474672,0.47555564227537117,0.1570912356146128,0.33559593962748213,0.8940883719193128
