ts_code,n_days,n_min_jiazi,n_med_jiazi,n_max_jiazi,n_missing_jiazi,min_trade_date,max_trade_date,p_wald_k56,wald_stat_k56,df_num_k56,beta_s5,beta_c5,beta_s6,beta_c6,amp_5,phase_5_rad,amp_6,phase_6_rad,r2_controls,r2_harmonic,delta_r2,hac_maxlags,formula,q_wald_k56
spx,4053,65,67,70,0,20100105,20260213,0.7138435131423753,2.1192128253330247,4,-0.0002017950762407906,0.00023371380948148575,2.2134242886553243e-06,-0.00017443811759341527,0.0003087772620148296,2.283034637291217,0.00017445215996546385,-1.5581081280347622,0.004327632660809377,0.00485979265495784,0.0005321599941484623,5,ret_1d ~ s5 + c5 + s6 + c6 + C(weekday) + C(month) + C(year),0.7245989220070376
ndq,4054,65,68,70,0,20100105,20260213,0.5530614498010642,3.028535569445879,4,-0.0003222784013579573,0.00033258623019484913,-7.158918582597854e-05,-0.00016813513294489162,0.0004631165819716044,2.3404553936259407,0.00018274144154411956,-1.973330521519752,0.005373574918974389,0.006121396140873148,0.000747821221898759,5,ret_1d ~ s5 + c5 + s6 + c6 + C(weekday) + C(month) + C(year),0.7245989220070376
ndx,4053,65,67,70,0,20100105,20260213,0.6625947440275539,2.400179963745998,4,-0.00027151266308156645,0.0003270270603876716,-2.1756995303275507e-05,-0.00012495262787263358,0.00042504802603875955,2.263709356779037,0.00012683266951737474,-1.7431899082757891,0.0057636366246806015,0.006338154214472702,0.0005745175897921007,5,ret_1d ~ s5 + c5 + s6 + c6 + C(weekday) + C(month) + C(year),0.7245989220070376
dji,4053,65,67,70,0,20100105,20260213,0.7245989220070376,2.0606810047608035,4,-0.00012678201669023186,0.00024781768814980266,6.828137108211188e-05,-0.0001515502881494412,0.00027836538275431276,2.043675975323715,0.00016622224723252817,-1.1474829820158634,0.00379883621418009,0.004281802115367106,0.00048296590118701577,5,ret_1d ~ s5 + c5 + s6 + c6 + C(weekday) + C(month) + C(year),0.7245989220070376
