day_group,k_indices_used,n_pass_p_interaction,min_pass_required,fisher_stat,fisher_df,p_meta_interaction,q_meta_interaction,pass_q,pass_p_count,pass_gate,p_interaction_dji,p_interaction_ndq,p_interaction_ndx,p_interaction_spx
stem,4,2,3,19.840089550525718,8,0.010958274690054833,0.016437412035082248,True,False,False,0.07617139328082598,0.11716418595091926,0.13007834160148773,0.0423630795787184
branch,4,0,3,4.791071045140309,8,0.7796555278874896,0.7796555278874896,False,False,False,0.8204767018565845,0.3937692390163237,0.46736315408117585,0.6034893787797534
ganzhi_day,4,4,3,74.44853593157109,8,6.360312195365922e-13,1.9080936586097767e-12,True,True,True,6.0832721299529995e-05,8.350332934811448e-05,0.0005002987025296779,2.68309108821359e-05
