ts_code,target,group_col,group_value,marginal_mean,marginal_effect_vs_all,marginal_mean_all,se_effect,z_effect,p_value_effect,q_value_effect,coef,p_value,q_value
ndx,ret_1d,ganzhi_day,丁丑,0.0020202784278009547,0.0012990906354105225,0.0007211877923904323,0.001499499343889277,0.8663495857497671,0.3862984816299304,0.9570794813681227,,,
ndx,ret_1d,ganzhi_day,丁亥,0.003675111403268929,0.002953923610878497,0.0007211877923904323,0.0017794692603709179,1.6600026067675777,0.09691392812401226,0.6978888794339584,0.0016548329754679742,0.47906113887518886,0.8592755751172468
ndx,ret_1d,ganzhi_day,丁卯,0.0006987530264857827,-2.2434765904649594e-05,0.0007211877923904323,0.0017738556042000398,-0.012647458931566727,0.9899090568073793,0.9899090568073793,-0.0013215254013151723,0.5723021066621911,0.8993249920051455
ndx,ret_1d,ganzhi_day,丁巳,-0.0012472650883862601,-0.0019684528807766923,0.0007211877923904323,0.00160419193476977,-1.2270681818751323,0.2197969655943418,0.8775655864956832,-0.0032675435161872153,0.13702778832024623,0.8592755751172468
ndx,ret_1d,ganzhi_day,丁未,0.0004579110567918185,-0.0002632767355986138,0.0007211877923904323,0.0015153791291606547,-0.1737365458797357,0.8620725148151147,0.9570794813681227,-0.0015623673710091367,0.46638100945965977,0.8592755751172468
ndx,ret_1d,ganzhi_day,丁酉,2.6267325489023627e-05,-0.0006949204669014087,0.0007211877923904323,0.0016132529583864047,-0.4307572865674314,0.6666448600768352,0.9570794813681227,-0.0019940111023119315,0.3685119457553614,0.8592755751172468
ndx,ret_1d,ganzhi_day,丙午,0.0003686397234964862,-0.0003525480688939461,0.0007211877923904323,0.001244680688888907,-0.283243784563458,0.7769899667502,0.9570794813681227,-0.0016516387043044689,0.39651430550786815,0.8592755751172468
ndx,ret_1d,ganzhi_day,丙子,-1.790642506014584e-05,-0.0007390942174505782,0.0007211877923904323,0.0012670292044738686,-0.5833284780183783,0.5596721950914698,0.9570794813681227,-0.002038184852861101,0.3253138931514715,0.8592755751172468
ndx,ret_1d,ganzhi_day,丙寅,0.0023206549800258115,0.0015994671876353793,0.0007211877923904323,0.0017097635259935842,0.9354902963589019,0.3495356818158335,0.9570794813681227,0.0003003765522248565,0.895282196417677,0.9428084481634148
ndx,ret_1d,ganzhi_day,丙戌,0.0009369854550565889,0.00021579766266615653,0.0007211877923904323,0.0013503703513248547,0.15980628014709908,0.8730336768232707,0.9570794813681227,-0.0010832929727443662,0.5928939721185178,0.8993249920051455
ndx,ret_1d,ganzhi_day,丙申,0.0018549934849670692,0.001133805692576637,0.0007211877923904323,0.0016573437168689567,0.6841101704108881,0.49390560011683016,0.9570794813681227,-0.00016528494283388616,0.9411720391087426,0.9573991432313071
ndx,ret_1d,ganzhi_day,丙辰,0.001220851526479509,0.0004996637340890768,0.0007211877923904323,0.0016100357430129282,0.3103432555814164,0.7562999406116357,0.9570794813681227,-0.000799426901321446,0.7176213243830033,0.8993249920051455
ndx,ret_1d,ganzhi_day,乙丑,0.0004471070003791612,-0.00027408079201127113,0.0007211877923904323,0.0013580209534378262,-0.2018236841761805,0.8400545652419528,0.9570794813681227,-0.0015731714274217939,0.43823385534778936,0.8592755751172468
ndx,ret_1d,ganzhi_day,乙亥,0.002042883824836028,0.001321696032445596,0.0007211877923904323,0.0014130497765346783,0.9353499461900655,0.3496079832345339,0.9570794813681227,2.260539703507275e-05,0.9912859620396781,0.9912859620396781
ndx,ret_1d,ganzhi_day,乙卯,0.002763402795436881,0.002042215003046449,0.0007211877923904323,0.002096530882668395,0.9740924972434393,0.33001061446221414,0.9570794813681227,0.0007431243676359263,0.7718713657960969,0.8993249920051455
ndx,ret_1d,ganzhi_day,乙巳,9.89309769179346e-05,-0.0006222568154724978,0.0007211877923904323,0.0015594743172139768,-0.3990170332424382,0.6898806536253521,0.9570794813681227,-0.0019213474508830205,0.37648375871984696,0.8592755751172468
ndx,ret_1d,ganzhi_day,乙未,0.000743003872977122,2.1816080586689688e-05,0.0007211877923904323,0.0015458553833799255,0.014112627106806181,0.9887401264848044,0.9899090568073793,-0.001277274554823833,0.5539997497649323,0.8993249920051455
ndx,ret_1d,ganzhi_day,乙酉,-0.0028306710318688373,-0.0035518588242592695,0.0007211877923904323,0.001495377465803157,-2.375225590517769,0.0175382276334436,0.350764552668872,-0.004850949459669792,0.023978567114972243,0.8592755751172468
ndx,ret_1d,ganzhi_day,壬午,-0.00016586572342941702,-0.0008870535158198494,0.0007211877923904323,0.001387422169571691,-0.6393537131482414,0.522592853198484,0.9570794813681227,-0.002186144151230372,0.2920859755023085,0.8592755751172468
ndx,ret_1d,ganzhi_day,壬子,4.654173329701137e-05,-0.000674646059093421,0.0007211877923904323,0.0016619402493252382,-0.4059388172151996,0.6847875557251155,0.9570794813681227,-0.0019737366945039437,0.3749528123098701,0.8592755751172468
ndx,ret_1d,ganzhi_day,壬寅,0.0003771483978339566,-0.00034403939455647574,0.0007211877923904323,0.0015151966926558772,-0.2270592301474962,0.8203776857062226,0.9570794813681227,-0.0016431300299669985,0.44260170007526234,0.8592755751172468
ndx,ret_1d,ganzhi_day,壬戌,0.0006372140774909082,-8.397371489952412e-05,0.0007211877923904323,0.0013591263219284526,-0.061785069970813865,0.9507339932080261,0.9835179240083028,-0.0013830643503100469,0.4951757551523117,0.8592755751172468
ndx,ret_1d,ganzhi_day,壬申,0.0027328188761506327,0.0020116310837602004,0.0007211877923904323,0.0015266328511272386,1.3176914686952055,0.1876069516198171,0.8775655864956832,0.0007125404483496773,0.7378467513821186,0.8993249920051455
ndx,ret_1d,ganzhi_day,壬辰,0.0013903620930569487,0.0006691743006665163,0.0007211877923904323,0.001489031000779497,0.44940253112004286,0.6531413057499447,0.9570794813681227,-0.0006299163347440064,0.7655472244938814,0.8993249920051455
ndx,ret_1d,ganzhi_day,己丑,-0.00048597510820668724,-0.0012071629005971196,0.0007211877923904323,0.0015633599120501707,-0.7721593033648032,0.44002008181766705,0.9570794813681227,-0.0025062535360076423,0.2508671683836511,0.8592755751172468
ndx,ret_1d,ganzhi_day,己亥,0.0025361683736637797,0.0018149805812733475,0.0007211877923904323,0.0010493469301760424,1.729628713898138,0.08369663245792436,0.6978888794339584,0.0005158899458628248,0.7778100712308712,0.8993249920051455
ndx,ret_1d,ganzhi_day,己卯,0.0014457889890807849,0.0007246011966903525,0.0007211877923904323,0.0016547949058824784,0.43787976027393755,0.6614734482171394,0.9570794813681227,-0.00057448943872017,0.7974280400572512,0.8993249920051455
ndx,ret_1d,ganzhi_day,己巳,-0.00016010398628249413,-0.0008812917786729265,0.0007211877923904323,0.0017220218251403129,-0.5117773571778726,0.608806839061661,0.9570794813681227,-0.002180382414083449,0.3416301080793497,0.8592755751172468
ndx,ret_1d,ganzhi_day,己未,-0.0006325716582065775,-0.0013537594505970097,0.0007211877923904323,0.001595493729258391,-0.8484893583544556,0.39616549646445576,0.9570794813681227,-0.0026528500860075327,0.2248278401616075,0.8592755751172468
ndx,ret_1d,ganzhi_day,己酉,0.0011249732386823896,0.0004037854462919573,0.0007211877923904323,0.001724759483855294,0.23411116162665782,0.8148986809691039,0.9570794813681227,-0.0008953051891185653,0.6968810843370097,0.8993249920051455
ndx,ret_1d,ganzhi_day,庚午,0.0004934093562587077,-0.00022777843613172458,0.0007211877923904323,0.001531427723704844,-0.14873600144881857,0.8817619521438723,0.9570794813681227,-0.0015268690715422473,0.4877059029660088,0.8592755751172468
ndx,ret_1d,ganzhi_day,庚子,8.153699987675648e-05,-0.0006396507925136758,0.0007211877923904323,0.0015296409812806551,-0.4181705382776445,0.6758224346920674,0.9570794813681227,-0.0019387414279241986,0.3648809516703714,0.8592755751172468
ndx,ret_1d,ganzhi_day,庚寅,0.0026848791320950947,0.0019636913397046625,0.0007211877923904323,0.0012315473266474503,1.59449117156567,0.110826066548913,0.6978888794339584,0.0006646007042941395,0.7323709742411935,0.8993249920051455
