ts_code,target,group_col,group_value,marginal_mean,marginal_effect_vs_all,marginal_mean_all,se_effect,z_effect,p_value_effect,q_value_effect,coef,p_value,q_value
ndq,ret_1d,branch,子,0.00025599677220126385,-0.00038981053364979166,0.0006458073058510555,0.0006308629662249557,-0.617900486348713,0.5366409383887534,0.9199558943807201,,,
ndq,ret_1d,branch,丑,5.220325279229051e-05,-0.000593604053058765,0.0006458073058510555,0.0006271958502654976,-0.9464412955020144,0.3439235510769437,0.9199558943807201,-0.00020379351940897326,0.8324911560398973,0.9522314372424574
ndq,ret_1d,branch,寅,0.0007418322093178722,9.602490346681666e-05,0.0006458073058510555,0.0007069499911890283,0.13582983897533013,0.8919558015726186,0.9383203780744541,0.00048583543711660853,0.6362858791197961,0.9522314372424574
ndq,ret_1d,branch,卯,0.0010077947911204409,0.00036198748526938536,0.0006458073058510555,0.0007348752993227011,0.49258355207068705,0.6223068722005634,0.9312976132216773,0.0007517980189191772,0.4497114751368606,0.9522314372424574
ndq,ret_1d,branch,辰,0.00014144908926716675,-0.0005043582165838887,0.0006458073058510555,0.000680720629884053,-0.7409180718818468,0.4587431172515798,0.9199558943807201,-0.00011454768293409705,0.9061976229926215,0.9522314372424574
ndq,ret_1d,branch,巳,0.0005942924479800932,-5.151485787096232e-05,0.0006458073058510555,0.0006657292265070508,-0.0773810970283677,0.9383203780744542,0.9383203780744541,0.00033829567577882945,0.7237623240145741,0.9522314372424574
ndq,ret_1d,branch,午,-0.0006150259673414594,-0.0012608332731925149,0.0006458073058510555,0.0006988439699349874,-1.8041699255268795,0.07120467244479302,0.42722803466875814,-0.0008710227395427231,0.36459878336468055,0.9522314372424574
ndq,ret_1d,branch,未,0.00019898189881121882,-0.0004468254070398367,0.0006458073058510555,0.000672699764710266,-0.6642270898255567,0.5065449776164392,0.9199558943807201,-5.701487339004492e-05,0.9522314372424574,0.9522314372424574
ndq,ret_1d,branch,申,0.0016951066051037469,0.0010492992992526913,0.0006458073058510555,0.0007341711486590136,1.429229820824843,0.15293818925557273,0.6117527570222909,0.0014391098329024831,0.15468778661520005,0.8507828263836003
ndq,ret_1d,branch,酉,0.0005869306007816927,-5.8876705069362835e-05,0.0006458073058510555,0.0006573982353277373,-0.0895601811891245,0.9286367280039536,0.9383203780744541,0.00033093382858042893,0.7128594362286673,0.9522314372424574
ndq,ret_1d,branch,戌,0.0008938136344160548,0.00024800632856499926,0.0006458073058510555,0.0006402108006477945,0.38738229394764206,0.6984732099162578,0.9312976132216773,0.000637816862214791,0.4740103069771494,0.9522314372424574
ndq,ret_1d,branch,亥,0.0021992376089564345,0.001553430303105379,0.0006458073058510555,0.0006405100857806034,2.425301861113054,0.01529566266319642,0.18354795195835705,0.001943240836755171,0.04864650232722066,0.5351115255994273
