ts_code,maxlags,group_value,marginal_effect_vs_all,se_effect,z_effect,p_value_effect,q_value_effect
spx,0,甲,-0.00045194490471357047,0.0005200959981330022,-0.8689643956806534,0.3848666053603612,0.9719472084640024
spx,0,乙,-8.837348199186942e-05,0.0005367714514850041,-0.16463893850423653,0.8692281809164576,0.9719472084640024
spx,0,丙,0.0002432636423544375,0.0004870955401193481,0.4994166899882375,0.6174858637895065,0.9719472084640024
spx,0,丁,4.5139991469964644e-05,0.0005084598047170475,0.08877789561966372,0.9292584250535598,0.9719472084640024
spx,0,戊,-2.3578992847616415e-05,0.0005931680490617263,-0.03975094896785764,0.9682916823470872,0.9719472084640024
spx,0,己,0.0002722814187534311,0.0005048756046904382,0.5393039715602399,0.589677128881481,0.9719472084640024
spx,0,庚,-0.00028157222663382207,0.00048413291206856186,-0.581601084360789,0.5608354123569204,0.9719472084640024
spx,0,辛,0.0005653930166369083,0.0005051817930086065,1.1191872400422709,0.26306026787542514,0.9719472084640024
spx,0,壬,-1.7202971418880844e-05,0.0004891904156666333,-0.03516620699822559,0.9719472084640024,0.9719472084640024
spx,0,癸,-0.0002615658958807133,0.00047875973545925875,-0.5463406308172546,0.584831811806241,0.9719472084640024
spx,1,甲,-0.00045194490471357047,0.0005190269506112955,-0.8707542145572253,0.38388836958804784,0.971952299294286
spx,1,乙,-8.837348199186942e-05,0.0005510658977767364,-0.16036826511749372,0.8725909868132008,0.971952299294286
spx,1,丙,0.0002432636423544375,0.0004932085650051773,0.4932267191099652,0.6218524006259261,0.971952299294286
spx,1,丁,4.5139991469964644e-05,0.0005118072932493857,0.08819724155038469,0.9297199096989666,0.971952299294286
spx,1,戊,-2.3578992847616415e-05,0.0006031623446448713,-0.039092282628318174,0.9688168138381502,0.971952299294286
spx,1,己,0.0002722814187534311,0.0005096608088663379,0.5342404477971913,0.593175188153866,0.971952299294286
spx,1,庚,-0.00028157222663382207,0.0004857811020564988,-0.5796277900515647,0.5621656483458244,0.971952299294286
spx,1,辛,0.0005653930166369083,0.0005059017913532586,1.1175944151621087,0.2637402551099636,0.971952299294286
spx,1,壬,-1.7202971418880844e-05,0.0004892792433448029,-0.03515982264295164,0.9719522992942861,0.971952299294286
spx,1,癸,-0.0002615658958807133,0.0004720445712829596,-0.5541127084033803,0.5795017133360056,0.971952299294286
spx,3,甲,-0.00045194490471357047,0.000517873185467628,-0.8726941602614051,0.38282980157321167,0.9724793971040645
spx,3,乙,-8.837348199186942e-05,0.000559096314041593,-0.15806486247966028,0.8744056881695816,0.9724793971040645
spx,3,丙,0.0002432636423544375,0.0004974013725390661,0.48906910150379923,0.6247927758056318,0.9724793971040645
spx,3,丁,4.5139991469964644e-05,0.0005100633131070904,0.08849880065866894,0.9294802375360917,0.9724793971040645
spx,3,戊,-2.3578992847616415e-05,0.0005946514005777886,-0.0396517906536603,0.968370736907621,0.9724793971040645
spx,3,己,0.0002722814187534311,0.0005127719595091119,0.530999041004684,0.5954194437170006,0.9724793971040645
spx,3,庚,-0.00028157222663382207,0.0004858653386203557,-0.5795272974881549,0.5622334331004271,0.9724793971040645
spx,3,辛,0.0005653930166369083,0.0004993812886782412,1.1321870271378938,0.25755581296945673,0.9724793971040645
spx,3,壬,-1.7202971418880844e-05,0.000498654158472165,-0.03449880268037736,0.9724793971040645,0.9724793971040645
spx,3,癸,-0.0002615658958807133,0.0004710243910630735,-0.5553128475796656,0.5786806926690321,0.9724793971040645
spx,5,甲,-0.00045194490471357047,0.0005203364796426891,-0.868562790415766,0.3850863142043617,0.972665320272403
spx,5,乙,-8.837348199186942e-05,0.0005662987203171937,-0.15605453238949551,0.8759900370808282,0.972665320272403
spx,5,丙,0.0002432636423544375,0.000500679398191329,0.4858670902641716,0.6270614029678088,0.972665320272403
spx,5,丁,4.5139991469964644e-05,0.000507281169684488,0.0889841653259872,0.9290944944329474,0.972665320272403
spx,5,戊,-2.3578992847616415e-05,0.0005941505226691161,-0.03968521771501927,0.96834408694776,0.972665320272403
spx,5,己,0.0002722814187534311,0.000515503005077085,0.5281859001243181,0.597370314694152,0.972665320272403
spx,5,庚,-0.00028157222663382207,0.0004848833136311772,-0.5807010031448469,0.561441985522201,0.972665320272403
spx,5,辛,0.0005653930166369083,0.0004955349628106327,1.1409750251123483,0.2538803162108806,0.972665320272403
spx,5,壬,-1.7202971418880844e-05,0.0005020472118033214,-0.03426564477290666,0.972665320272403,0.972665320272403
spx,5,癸,-0.0002615658958807133,0.00047377724577230907,-0.5520862350709396,0.5808892722459529,0.972665320272403
spx,10,甲,-0.00045194490471357047,0.0005244998805042459,-0.8616682701225361,0.3888700909293221,0.9720940798942032
spx,10,乙,-8.837348199186942e-05,0.0005506955497774829,-0.1604761143023183,0.8725060357960308,0.9720940798942032
spx,10,丙,0.0002432636423544375,0.0005099091076108074,0.477072558076587,0.633310454903868,0.9720940798942032
spx,10,丁,4.5139991469964644e-05,0.0005016736935882485,0.08997878909515544,0.928304070296242,0.9720940798942032
spx,10,戊,-2.3578992847616415e-05,0.0005728228713523926,-0.041162799229625895,0.9671661104362778,0.9720940798942032
spx,10,己,0.0002722814187534311,0.000496893780270368,0.5479670496283496,0.5837145281226277,0.9720940798942032
spx,10,庚,-0.00028157222663382207,0.0004656185230845977,-0.6047272878417327,0.5453602137525682,0.9720940798942032
spx,10,辛,0.0005653930166369083,0.0004895555113279141,1.1549109417710073,0.2481268982170256,0.9720940798942032
spx,10,壬,-1.7202971418880844e-05,0.0004917661287302398,-0.03498201769873744,0.972094079894203,0.9720940798942032
spx,10,癸,-0.0002615658958807133,0.0004754275565911882,-0.5501698255695121,0.5822028977460165,0.9720940798942032
