ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,jiazi_idx,hac_maxlags,formula
000300.SH,ganzhi_day,丙午,金,18,-0.0035404053719874573,0.00016080668062183688,-0.0037012120526092943,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙午,水,16,-0.007041503456423186,0.00016080668062183688,-0.007202310137045023,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,木,17,0.0014602124094017237,0.00016080668062183688,0.0012994057287798867,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,火,9,-0.0032022430818126448,0.00016080668062183688,-0.0033630497624344818,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,土,9,-0.017633253211085952,0.00016080668062183688,-0.01779405989170779,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,金,15,-0.004557872140764192,0.00016080668062183688,-0.004718678821386029,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,水,17,-0.000620902103616455,0.00016080668062183688,-0.0007817087842382919,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,木,16,-0.00855443124457771,0.00016080668062183688,-0.008715237925199546,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,火,8,0.0020345455653735327,0.00016080668062183688,0.0018737388847516957,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,土,7,-0.0012508859470042467,0.00016080668062183688,-0.0014116926276260835,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,金,17,-0.0027342966134955315,0.00016080668062183688,-0.0028951032941173685,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,水,16,-0.0030486463864758334,0.00016080668062183688,-0.0032094530670976704,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙戌,木,17,0.00564091881045729,0.00016080668062183688,0.005480112129835453,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙戌,火,8,-0.0019322372329010661,0.00016080668062183688,-0.002093043913522903,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙戌,土,8,0.006146729665530486,0.00016080668062183688,0.005985922984908649,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙戌,金,16,-0.0011340704623069011,0.00016080668062183688,-0.0012948771429287381,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙戌,水,18,0.00015019873944607776,0.00016080668062183688,-1.0607941175759116e-05,22,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙申,木,17,-2.7611209116087934e-05,0.00016080668062183688,-0.0001884178897379248,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙申,火,8,0.003587870759375804,0.00016080668062183688,0.003427064078753967,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙申,土,9,0.001980504868132754,0.00016080668062183688,0.0018196981875109172,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙申,金,15,0.0022823013902218835,0.00016080668062183688,0.0021214947096000465,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙申,水,16,-0.0024754963742380162,0.00016080668062183688,-0.002636303054859853,32,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙辰,木,17,9.134273842606496e-05,0.00016080668062183688,-6.946394219577192e-05,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙辰,火,8,-4.599100275032952e-05,0.00016080668062183688,-0.0002067976833721664,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙辰,土,10,-0.0014684247190617544,0.00016080668062183688,-0.0016292313996835914,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙辰,金,16,-0.002154449466793874,0.00016080668062183688,-0.002315256147415711,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙辰,水,15,-0.0026713109418075994,0.00016080668062183688,-0.0028321176224294364,52,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙丑,木,15,-0.0021940699822927223,0.00016080668062183688,-0.0023548766629145593,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙丑,火,8,0.005347777931187179,0.00016080668062183688,0.005186971250565342,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙丑,土,9,-0.002286965683018353,0.00016080668062183688,-0.00244777236364019,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙丑,金,17,-0.0018400603884706815,0.00016080668062183688,-0.0020008670690925185,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙丑,水,17,0.003349269525977318,0.00016080668062183688,0.003188462845355481,1,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙亥,木,16,0.007546832634928133,0.00016080668062183688,0.007386025954306296,11,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙亥,火,8,-0.0036036125392061493,0.00016080668062183688,-0.0037644192198279863,11,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙亥,土,8,-0.0016258825973271926,0.00016080668062183688,-0.0017866892779490294,11,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙亥,金,16,-0.0027433176056966403,0.00016080668062183688,-0.0029041242863184773,11,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙亥,水,18,-0.0033009148047240203,0.00016080668062183688,-0.0034617214853458573,11,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙卯,木,18,0.006189358518793799,0.00016080668062183688,0.0060285518381719624,51,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,乙卯,火,10,0.001336318129074228,0.00016080668062183688,0.0011755114484523913,51,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
