ts_code,target,group_col,group_value,marginal_mean,marginal_effect_vs_all,marginal_mean_all,se_effect,z_effect,p_value_effect,q_value_effect,coef,p_value,q_value
399001.SZ,up,branch,子,0.5231122532861168,0.022856890671203556,0.5002553626149132,0.026087758085926477,0.8761538878089385,0.3809463807964756,0.9114427760087361,,,
399001.SZ,up,branch,丑,0.5148378168922046,0.014582454277291435,0.5002553626149132,0.02620120625291803,0.5565566003537484,0.5778304129189731,0.9114427760087361,-0.03368079470860959,0.8347071883901407,0.9181779072291547
399001.SZ,up,branch,寅,0.5117400198288484,0.011484657213935212,0.5002553626149132,0.0262227148307793,0.43796598819184523,0.6614109389747469,0.9114427760087361,-0.04628102958495066,0.7673375921821377,0.9181779072291547
399001.SZ,up,branch,卯,0.521079635906908,0.020824273291994766,0.5002553626149132,0.02624143535687097,0.7935645672119154,0.42744896687069156,0.9114427760087361,-0.008277659186607372,0.957797553620785,0.9577975536207849
399001.SZ,up,branch,辰,0.4676085522005206,-0.0326468104143926,0.5002553626149132,0.026121194950108,-1.249820709839219,0.2113650490407396,0.9114427760087361,-0.22585757251537958,0.16091795154557154,0.9181779072291547
399001.SZ,up,branch,巳,0.4824847959256547,-0.017770566689258527,0.5002553626149132,0.026228331041733118,-0.6775332620662349,0.4980676734781555,0.9114427760087361,-0.16523374859773562,0.29449388060228177,0.9181779072291547
399001.SZ,up,branch,午,0.477227343896511,-0.02302801871840221,0.5002553626149132,0.026878049488325964,-0.8567592945464308,0.3915779261453347,0.9114427760087361,-0.18663907766755272,0.24441365806607718,0.9181779072291547
399001.SZ,up,branch,未,0.5088903449352449,0.008634982320331663,0.5002553626149132,0.02653594843777069,0.32540696031956473,0.7448730883581776,0.9114427760087361,-0.05786888154168637,0.7092706702982774,0.9181779072291547
399001.SZ,up,branch,申,0.48970012950163555,-0.010555233113277662,0.5002553626149132,0.027004230129453455,-0.3908733210566552,0.6958908750292114,0.9114427760087361,-0.13588172958986316,0.39655627523278314,0.9181779072291547
399001.SZ,up,branch,酉,0.496115266719977,-0.004140095894936191,0.5002553626149132,0.02607857806201691,-0.1587546638889098,0.8738621686910553,0.9533041840266058,-0.10980003887575891,0.4754249192323503,0.9181779072291547
399001.SZ,up,branch,戌,0.5084995938260176,0.008244231211104402,0.5002553626149132,0.0269339554054259,0.30609062378723567,0.7595356466739468,0.9114427760087361,-0.059457630390126553,0.7019504937719494,0.9181779072291547
399001.SZ,up,branch,亥,0.5017780922203006,0.0015227296053873518,0.5002553626149132,0.02654411835809771,0.05736598913720631,0.954253655104895,0.9542536551048949,-0.08678176002469665,0.5831063293459986,0.9181779072291547
