ts_code,oos_year,train_years,n_train,n_oos,spearman_mean_ret,spearman_p_up,train_bing_mean_ret_diff,oos_bing_mean_ret_diff
000300.SH,2015,5,1212,244,-0.23636363636363633,-0.34650615989763683,-0.002177106683872641,-0.0029765852375540167
000300.SH,2016,5,1214,244,-0.3696969696969697,-0.3201219512195122,-0.0015892512030728756,-3.471100655873358e-05
000300.SH,2017,5,1214,244,0.17575757575757575,-0.030488371665955208,-0.0019924622777273185,-0.0009566575445793525
000300.SH,2018,5,1215,243,0.07878787878787878,-0.06686960980480709,-0.0023405606151830783,0.0004265045988950765
000300.SH,2019,5,1220,244,0.3939393939393939,-0.05454545454545454,-0.0011034815409316147,-0.0003505464432466839
000300.SH,2020,5,1219,243,-0.22424242424242422,-0.36586045999146244,-0.0007467792553270557,-0.002811963024696817
000300.SH,2021,5,1218,243,0.2727272727272727,-0.14111491740216522,-0.0007552593748822051,-0.004467607943413502
000300.SH,2022,5,1217,242,0.06666666666666665,0.18787878787878787,-0.0016297071683927457,-0.003255766210759398
000300.SH,2023,5,1215,242,0.709090909090909,0.5227987675648555,-0.0020752451290507296,-0.0014815535155143509
000300.SH,2024,5,1214,242,-0.28484848484848485,-0.11657319263657127,-0.0024575610861044916,-0.004446677092147573
000300.SH,2025,5,1212,243,0.3939393939393939,0.2804878048780488,-0.0032867233612441224,-0.001218242281278792
