ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,jiazi_idx,hac_maxlags,formula
399001.SZ,ganzhi_day,丙午,土,9,-0.000551777944802995,0.0001287476267560596,-0.0006805255715590546,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙午,金,18,-0.004503786149240413,0.0001287476267560596,-0.004632533775996472,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙午,水,16,-0.007327184231856381,0.0001287476267560596,-0.0074559318586124405,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙子,木,17,0.002291984068188889,0.0001287476267560596,0.0021632364414328293,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙子,火,9,-0.005709928612428256,0.0001287476267560596,-0.005838676239184316,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙子,土,9,-0.020463135961157976,0.0001287476267560596,-0.020591883587914035,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙子,金,15,-0.005621047791288543,0.0001287476267560596,-0.005749795418044603,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙子,水,17,-6.453872620677135e-05,0.0001287476267560596,-0.00019328635296283093,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙寅,木,16,-0.008117553707768888,0.0001287476267560596,-0.008246301334524947,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙寅,火,8,-0.002192884274210499,0.0001287476267560596,-0.0023216319009665585,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丙寅,土,7,-0.006347621338338855,0.0001287476267560596,-0.006476368965094914,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
