ts_code,group_value,effect_obs,boot_mean,boot_ci_low,boot_ci_high,p_boot_two_sided,n_boot,block_len,n_days
000001.SH,甲,-0.0006100095986254178,-0.0006295201132429735,-0.0018166278597114922,0.0004294712752922169,0.26,1000,10,3916
000001.SH,乙,-4.7620695347905226e-05,-1.0730022979344971e-05,-0.0013106254866377758,0.0012308093237533488,0.972,1000,10,3916
000001.SH,丙,-0.001612013744330855,-0.001622848708897921,-0.002776468360089482,-0.0002906765693672893,0.018,1000,10,3916
000001.SH,丁,0.0006525059909422733,0.0006278701743412237,-0.0006176607501435266,0.0019708252207923495,0.384,1000,10,3916
000001.SH,戊,0.00014771373817165287,0.00016146893206328165,-0.0011040028356175413,0.001414323476511527,0.832,1000,10,3916
000001.SH,己,-3.4602219852943785e-05,-5.2033140732979735e-05,-0.0010630195215242538,0.0009546939420889175,0.942,1000,10,3916
000001.SH,庚,0.00021879243978663044,0.00018702987355859649,-0.0009347596423534391,0.001387554110288629,0.776,1000,10,3916
000001.SH,辛,-3.4850712700785913e-05,-2.2963183507030803e-05,-0.0010376571579548484,0.0009973138116554886,0.948,1000,10,3916
000001.SH,壬,0.0002913596398530648,0.0003084450202889417,-0.0008293602184192267,0.0013904187920223765,0.568,1000,10,3916
000001.SH,癸,0.001068203515717589,0.00108936302976856,-4.130482821990584e-07,0.002194796718634572,0.05,1000,10,3916
