ts_code,oos_year,stem,oos_effect
000001.SH,2015,甲,-0.004998563973598319
000001.SH,2015,乙,0.001304493766282871
000001.SH,2015,丙,-0.002511182702102837
000001.SH,2015,丁,0.011642120673412318
000001.SH,2015,戊,0.0008538703550389985
000001.SH,2015,己,-0.0006983842849991907
000001.SH,2015,庚,-0.0006861701039150799
000001.SH,2015,辛,0.004447378041564068
000001.SH,2015,壬,-0.0034227187536334004
000001.SH,2015,癸,-0.005930843018049426
000001.SH,2016,甲,0.0018411158242892657
000001.SH,2016,乙,0.0007157496971125563
000001.SH,2016,丙,-7.732776335491392e-05
000001.SH,2016,丁,-0.0021968707468143483
000001.SH,2016,戊,-0.0008733275917405508
000001.SH,2016,己,0.001481748325385176
000001.SH,2016,庚,0.0002479263188732005
000001.SH,2016,辛,-0.0040981914922203445
000001.SH,2016,壬,-0.0017979119822132985
000001.SH,2016,癸,0.004757089410683259
000001.SH,2017,甲,0.0007879166970742428
000001.SH,2017,乙,-0.002803885150045312
000001.SH,2017,丙,-0.0007709427974828496
000001.SH,2017,丁,0.0016514800923625814
000001.SH,2017,戊,-0.0005951965516086391
000001.SH,2017,己,0.0003694525226536216
000001.SH,2017,庚,0.00043685595574351785
000001.SH,2017,辛,-0.00039325939595289447
000001.SH,2017,壬,0.0017870385691838699
000001.SH,2017,癸,-0.00046945994192813833
000001.SH,2018,甲,-0.001253277250669985
000001.SH,2018,乙,0.0008623181994415341
000001.SH,2018,丙,-2.0448808495323158e-05
000001.SH,2018,丁,0.0027005119278851507
000001.SH,2018,戊,0.0007796646564413985
000001.SH,2018,己,-0.0002466661333108196
000001.SH,2018,庚,-0.0014114810880130617
000001.SH,2018,辛,0.00016306003556972222
000001.SH,2018,壬,-0.0031458018084047196
000001.SH,2018,癸,0.001572120269556105
000001.SH,2019,甲,-0.002238717082568398
000001.SH,2019,乙,0.00028439571869593925
000001.SH,2019,丙,-0.0014261774581390226
000001.SH,2019,丁,0.0022839485545916812
000001.SH,2019,戊,0.003376245329308003
000001.SH,2019,己,-0.00022457079937137085
000001.SH,2019,庚,-0.0015609669028461785
000001.SH,2019,辛,0.000502238053411074
000001.SH,2019,壬,-0.00020471033931486287
000001.SH,2019,癸,-0.0007916850737668636
000001.SH,2020,甲,0.0019232937873537826
000001.SH,2020,乙,-0.0014529725001247663
000001.SH,2020,丙,-0.0031622803028995014
000001.SH,2020,丁,0.0030585316040976163
000001.SH,2020,戊,-0.002490461753607222
000001.SH,2020,己,-0.0009635387744149346
000001.SH,2020,庚,0.0010639302163295533
000001.SH,2020,辛,-0.0030387291410812634
000001.SH,2020,壬,0.003257674489820274
000001.SH,2020,癸,0.0018045523745264613
000001.SH,2021,甲,0.0011387617153748042
000001.SH,2021,乙,-0.003037002647251344
000001.SH,2021,丙,-0.0025712820758886194
000001.SH,2021,丁,-0.002054815551083327
000001.SH,2021,戊,0.002541497698450603
000001.SH,2021,己,0.0009566362099234509
000001.SH,2021,庚,0.001898087287234
000001.SH,2021,辛,-0.0016970007371647177
000001.SH,2021,壬,0.0007196030870161395
000001.SH,2021,癸,0.002105515013389011
000001.SH,2022,甲,-0.0009362586291644361
000001.SH,2022,乙,-0.0014036795572011256
000001.SH,2022,丙,-0.003355507050292018
000001.SH,2022,丁,-0.003966463787257236
000001.SH,2022,戊,0.0008825257963937914
000001.SH,2022,己,-0.002070699106716224
000001.SH,2022,庚,0.0009891981548198281
000001.SH,2022,辛,0.0023029400266037212
000001.SH,2022,壬,0.006048082894057116
000001.SH,2022,癸,0.0015098612587565842
000001.SH,2023,甲,-0.0005569159211634799
000001.SH,2023,乙,-8.743247101111647e-05
000001.SH,2023,丙,-9.503219230227937e-05
000001.SH,2023,丁,-0.0006470017181774508
000001.SH,2023,戊,0.0008123868890635886
000001.SH,2023,己,-0.0005889424680804541
000001.SH,2023,庚,0.0011419566898362055
000001.SH,2023,辛,-0.0025736356183333033
000001.SH,2023,壬,0.0013831275021935492
000001.SH,2023,癸,0.0012114893079747402
000001.SH,2024,甲,0.0005271797840348604
000001.SH,2024,乙,0.0021918854897404532
000001.SH,2024,丙,-0.0034400807290919876
000001.SH,2024,丁,0.003282287484348379
000001.SH,2024,戊,-0.001854320319629304
000001.SH,2024,己,-0.0018999338302898051
000001.SH,2024,庚,-0.002960341580180853
000001.SH,2024,辛,0.004093855208403885
000001.SH,2024,壬,-0.0024968329969647096
000001.SH,2024,癸,0.0025563014896290816
000001.SH,2025,甲,-0.0005616446546519351
000001.SH,2025,乙,-0.0008574753190815341
000001.SH,2025,丙,-0.0007938164455120797
000001.SH,2025,丁,0.0008444343434680152
000001.SH,2025,戊,-0.0014121693224474997
000001.SH,2025,己,-0.000698401862022668
000001.SH,2025,庚,0.0004158445957522461
000001.SH,2025,辛,-0.00019724032558046222
000001.SH,2025,壬,-0.00034113994726566057
000001.SH,2025,癸,0.003601608937341578
