ts_code,n_days,n_min_jiazi,n_med_jiazi,n_max_jiazi,n_missing_jiazi,min_trade_date,max_trade_date,p_wald_k56,wald_stat_k56,df_num_k56,beta_s5,beta_c5,beta_s6,beta_c6,amp_5,phase_5_rad,amp_6,phase_6_rad,r2_controls,r2_harmonic,delta_r2,hac_maxlags,formula,q_wald_k56
000300.SH,3916,61,65,70,0,20100104,20260213,0.03587313741317774,10.286190506119242,4,-0.00048402298944502474,0.0005942603099958857,-0.00039838083183756925,-0.00020417133870019436,0.0007664356270083644,2.254314352224706,0.00044765301598696187,-2.667992813380357,0.007590928297474542,0.009713456640781604,0.002122528343307062,5,ret_1d ~ s5 + c5 + s6 + c6 + C(weekday) + C(month) + C(year),0.07174627482635548
000852.SH,3916,61,65,70,0,20100104,20260213,0.23553595958376686,5.548073818726079,4,-0.0003747404527765016,0.0007099363399840726,-0.0002568692958647349,-0.0002264909456925389,0.0008027702123130368,2.0564755182316805,0.00034246165280034683,-2.4189601976323742,0.01270092135373957,0.014023816134632328,0.0013228947808927582,5,ret_1d ~ s5 + c5 + s6 + c6 + C(weekday) + C(month) + C(year),0.23553595958376686
000001.SH,3916,61,65,70,0,20100104,20260213,0.007859110827164657,13.829637153795014,4,-0.0005159344064483346,0.0006928182566482287,-0.00036993712355223255,-0.0001427429270603777,0.0008638202640030426,2.2108899738176477,0.0003965211452216188,-2.7733374250914764,0.007192375770773252,0.010099859818294088,0.0029074840475208363,5,ret_1d ~ s5 + c5 + s6 + c6 + C(weekday) + C(month) + C(year),0.03143644330865863
399001.SZ,3916,61,65,70,0,20100104,20260213,0.11660286012453808,7.391218743816838,4,-0.0004322189701440696,0.0006167243002137149,-0.0003447319677734826,-0.0003163458355572928,0.0007531016535810398,2.182079206693697,0.0004678833372534431,-2.39910729938453,0.008724412426398986,0.010341750771819314,0.0016173383454203272,5,ret_1d ~ s5 + c5 + s6 + c6 + C(weekday) + C(month) + C(year),0.15547048016605078
