ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,jiazi_idx,hac_maxlags,formula
000852.SH,ganzhi_day,丁丑,木,15,0.004047173773670076,0.0003039867850170166,0.0037431869886530595,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁丑,火,9,-0.010158333572765547,0.0003039867850170166,-0.010462320357782563,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁丑,土,10,0.0009996433102810551,0.0003039867850170166,0.0006956565252640385,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁丑,金,15,-0.0010418349445809288,0.0003039867850170166,-0.0013458217295979455,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁丑,水,16,-0.0071676189066227115,0.0003039867850170166,-0.007471605691639728,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁亥,木,18,0.008637365049214418,0.0003039867850170166,0.008333378264197402,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁亥,火,9,0.005185281185116635,0.0003039867850170166,0.004881294400099618,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁亥,土,8,0.010856590972935315,0.0003039867850170166,0.010552604187918299,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁亥,金,14,-0.0014167495167909936,0.0003039867850170166,-0.00172073630180801,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁亥,水,15,-1.9628750976684226e-05,0.0003039867850170166,-0.0003236155359937008,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁卯,木,15,-0.000971840119663357,0.0003039867850170166,-0.0012758269046803735,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁卯,火,9,0.0014174497787064365,0.0003039867850170166,0.0011134629936894198,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁卯,土,7,-0.004066125489564436,0.0003039867850170166,-0.004370112274581453,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁卯,金,18,-0.0035354897119985397,0.0003039867850170166,-0.0038394764970155564,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁卯,水,15,-0.0037202366585053956,0.0003039867850170166,-0.004024223443522412,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁巳,木,16,0.007581010852644287,0.0003039867850170166,0.00727702406762727,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁巳,火,8,0.0057985076311946855,0.0003039867850170166,0.005494520846177669,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁巳,土,10,-0.0001464403099195108,0.0003039867850170166,-0.0004504270949365274,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁巳,金,17,0.00027389385603370224,0.0003039867850170166,-3.009292898331433e-05,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000852.SH,ganzhi_day,丁巳,水,16,-0.002327052723170626,0.0003039867850170166,-0.0026310395081876425,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
