ts_code,oos_year,stem,oos_effect,train_years
000852.SH,2024,己,-0.008635918253867832,3
000852.SH,2024,庚,-0.002874156387645553,3
000852.SH,2024,辛,0.006947648574814487,3
000852.SH,2024,壬,-0.003911412714642261,3
000852.SH,2024,癸,0.003556222869852798,3
000852.SH,2025,甲,-0.0014791690636350016,3
000852.SH,2025,乙,-0.000779405132972012,3
000852.SH,2025,丙,-0.0021706745706934027,3
000852.SH,2025,丁,0.0013993112715748233,3
000852.SH,2025,戊,-0.001635767806983965,3
000852.SH,2025,己,0.0005845701716918356,3
000852.SH,2025,庚,0.0016916313184822773,3
000852.SH,2025,辛,-0.0005359821363883012,3
000852.SH,2025,壬,-0.001674673631404389,3
000852.SH,2025,癸,0.004600159580328134,3
000852.SH,2015,甲,-0.005160684435144128,5
000852.SH,2015,乙,0.003537295716338318,5
000852.SH,2015,丙,0.00016325855358025358,5
000852.SH,2015,丁,0.015346203715676042,5
000852.SH,2015,戊,0.0037160757779359345,5
000852.SH,2015,己,0.0006336277356070105,5
000852.SH,2015,庚,-0.0008851627661408104,5
000852.SH,2015,辛,-0.0020080109800830175,5
000852.SH,2015,壬,-0.0014370179415634041,5
000852.SH,2015,癸,-0.013905585376206203,5
000852.SH,2016,甲,0.0014764652690404836,5
000852.SH,2016,乙,0.0008430355267896735,5
000852.SH,2016,丙,-0.0013153936827019171,5
000852.SH,2016,丁,-0.0034969631032611744,5
000852.SH,2016,戊,0.00030729046090842015,5
000852.SH,2016,己,0.0024407757252145,5
000852.SH,2016,庚,-0.00027441290928810046,5
000852.SH,2016,辛,-0.002389100237547524,5
000852.SH,2016,壬,-0.0032378601333989693,5
000852.SH,2016,癸,0.005646163084244607,5
000852.SH,2017,甲,0.002047373138412283,5
000852.SH,2017,乙,-0.0038110955868000135,5
000852.SH,2017,丙,-0.0015433693213065646,5
000852.SH,2017,丁,0.0025106905933638657,5
000852.SH,2017,戊,-0.002368970208586128,5
000852.SH,2017,己,3.723286775106816e-05,5
000852.SH,2017,庚,-0.00035295304503835654,5
000852.SH,2017,辛,-0.00042494779939882834,5
000852.SH,2017,壬,0.0031276387154548432,5
000852.SH,2017,癸,0.0007784006461478294,5
000852.SH,2018,甲,-0.003407144316342653,5
000852.SH,2018,乙,0.0011282126180660033,5
000852.SH,2018,丙,-0.0017160055718582318,5
000852.SH,2018,丁,0.003600983462520748,5
000852.SH,2018,戊,0.0019375080196633806,5
000852.SH,2018,己,0.00023938405284909927,5
000852.SH,2018,庚,-0.0004735728074209298,5
000852.SH,2018,辛,0.0019417028435314934,5
000852.SH,2018,壬,-0.004812993490339807,5
000852.SH,2018,癸,0.0015619251893308939,5
000852.SH,2019,甲,-0.0015744103210553802,5
000852.SH,2019,乙,-0.0007417005502985465,5
000852.SH,2019,丙,-0.004416622781356371,5
000852.SH,2019,丁,0.0038695125199133705,5
000852.SH,2019,戊,0.004399557639229195,5
000852.SH,2019,己,0.00306171922853479,5
000852.SH,2019,庚,-0.002152542050396878,5
000852.SH,2019,辛,0.0009793257945927988,5
000852.SH,2019,壬,-0.0026697770776252286,5
000852.SH,2019,癸,-0.0007550624015377496,5
000852.SH,2020,甲,0.001774915364153955,5
000852.SH,2020,乙,-0.00018620053472011603,5
000852.SH,2020,丙,-0.005675016026593978,5
000852.SH,2020,丁,0.0026988339419032584,5
000852.SH,2020,戊,-0.0015904176746649856,5
