ts_code,target,group_col,group_value,marginal_mean,marginal_effect_vs_all,marginal_mean_all,se_effect,z_effect,p_value_effect,q_value_effect,coef,p_value,q_value
000852.SH,ret_1d,ganzhi_day,丁丑,-0.0022894132438782007,-0.0025934000288952226,0.00030398678501702194,0.002311970385611053,-1.1217271834603488,0.26197845487393745,0.827300383812434,,,
000852.SH,ret_1d,ganzhi_day,丁亥,0.00412807069049268,0.003824083905475658,0.00030398678501702194,0.001973482381999839,1.937733997706381,0.05265568386586028,0.5265568386586028,0.006417483934370881,0.03393072441223088,0.4766962988989671
000852.SH,ret_1d,ganzhi_day,丁卯,-0.002353233376135944,-0.002657220161152966,0.00030398678501702194,0.0021665024149440065,-1.2265022844304756,0.22000971617963883,0.7909952393929439,-6.382013225774362e-05,0.9839620938462481,0.9839620938462482
000852.SH,ret_1d,ganzhi_day,丁巳,0.0019957031881343104,0.0016917164031172885,0.00030398678501702194,0.0017285136338182122,0.9787116340993846,0.3277224819937674,0.8488809761003292,0.004285116432012511,0.1382147439403422,0.6791863886170906
000852.SH,ret_1d,ganzhi_day,丁未,0.0008384121642732656,0.0005344253792562436,0.00030398678501702194,0.0023450907603156665,0.22789112826673968,0.8197308798887336,0.9742935033776506,0.0031278254081514665,0.3454906560726738,0.7138499077720507
000852.SH,ret_1d,ganzhi_day,丁酉,0.003870861095536891,0.003566874310519869,0.00030398678501702194,0.0023823097943065073,1.4972336171577507,0.13433248096110367,0.6303766263160779,0.006160274339415092,0.06578795911103158,0.6099661887774926
000852.SH,ret_1d,ganzhi_day,丙午,-0.005066268527677835,-0.005370255312694857,0.00030398678501702194,0.002519157781140188,-2.1317661612541965,0.03302607475268836,0.49539112129032536,-0.002776855283799634,0.4153473929746969,0.7138499077720507
000852.SH,ret_1d,ganzhi_day,丙子,-0.0028667758826130697,-0.0031707626676300915,0.00030398678501702194,0.0025978635718551034,-1.2205270138053816,0.22226515539524594,0.7909952393929439,-0.0005773626387348691,0.8782714889443908,0.9253217472806974
000852.SH,ret_1d,ganzhi_day,丙寅,-0.004753097622252733,-0.005057084407269755,0.00030398678501702194,0.0024964798114408653,-2.025686081695575,0.04279696388060864,0.5135635665673037,-0.002463684378374532,0.4696381439726789,0.7138499077720507
000852.SH,ret_1d,ganzhi_day,丙戌,0.0016500418667835088,0.001346055081766487,0.00030398678501702194,0.001762667511100614,0.7636466170106047,0.44507786101600155,0.8718676248781895,0.0039394551106617095,0.1755852341093206,0.6791863886170906
000852.SH,ret_1d,ganzhi_day,丙申,0.001915414620309789,0.0016114278352927672,0.00030398678501702194,0.0019507286460157158,0.826064577758697,0.40876746010573106,0.8718676248781895,0.00420482786418799,0.16461688661946494,0.6791863886170906
