ts_code,oos_year,stem,oos_effect
000852.SH,2015,甲,-0.005160684435144128
000852.SH,2015,乙,0.003537295716338318
000852.SH,2015,丙,0.00016325855358025358
000852.SH,2015,丁,0.015346203715676042
000852.SH,2015,戊,0.0037160757779359345
000852.SH,2015,己,0.0006336277356070105
000852.SH,2015,庚,-0.0008851627661408104
000852.SH,2015,辛,-0.0020080109800830175
000852.SH,2015,壬,-0.0014370179415634041
000852.SH,2015,癸,-0.013905585376206203
000852.SH,2016,甲,0.0014764652690404836
000852.SH,2016,乙,0.0008430355267896735
000852.SH,2016,丙,-0.0013153936827019171
000852.SH,2016,丁,-0.0034969631032611744
000852.SH,2016,戊,0.00030729046090842015
000852.SH,2016,己,0.0024407757252145
000852.SH,2016,庚,-0.00027441290928810046
000852.SH,2016,辛,-0.002389100237547524
000852.SH,2016,壬,-0.0032378601333989693
000852.SH,2016,癸,0.005646163084244607
000852.SH,2017,甲,0.002047373138412283
000852.SH,2017,乙,-0.0038110955868000135
000852.SH,2017,丙,-0.0015433693213065646
000852.SH,2017,丁,0.0025106905933638657
000852.SH,2017,戊,-0.002368970208586128
000852.SH,2017,己,3.723286775106816e-05
000852.SH,2017,庚,-0.00035295304503835654
000852.SH,2017,辛,-0.00042494779939882834
000852.SH,2017,壬,0.0031276387154548432
000852.SH,2017,癸,0.0007784006461478294
000852.SH,2018,甲,-0.003407144316342653
000852.SH,2018,乙,0.0011282126180660033
000852.SH,2018,丙,-0.0017160055718582318
000852.SH,2018,丁,0.003600983462520748
000852.SH,2018,戊,0.0019375080196633806
000852.SH,2018,己,0.00023938405284909927
000852.SH,2018,庚,-0.0004735728074209298
000852.SH,2018,辛,0.0019417028435314934
000852.SH,2018,壬,-0.004812993490339807
000852.SH,2018,癸,0.0015619251893308939
000852.SH,2019,甲,-0.0015744103210553802
000852.SH,2019,乙,-0.0007417005502985465
000852.SH,2019,丙,-0.004416622781356371
000852.SH,2019,丁,0.0038695125199133705
000852.SH,2019,戊,0.004399557639229195
000852.SH,2019,己,0.00306171922853479
000852.SH,2019,庚,-0.002152542050396878
000852.SH,2019,辛,0.0009793257945927988
000852.SH,2019,壬,-0.0026697770776252286
000852.SH,2019,癸,-0.0007550624015377496
000852.SH,2020,甲,0.001774915364153955
000852.SH,2020,乙,-0.00018620053472011603
000852.SH,2020,丙,-0.005675016026593978
000852.SH,2020,丁,0.0026988339419032584
000852.SH,2020,戊,-0.0015904176746649856
000852.SH,2020,己,-0.0008990756360658819
000852.SH,2020,庚,0.001961701520999217
000852.SH,2020,辛,-0.0037380904647173275
000852.SH,2020,壬,0.0031173962566029717
000852.SH,2020,癸,0.002535953253102886
000852.SH,2021,甲,0.0012539636165845333
000852.SH,2021,乙,-0.004039380253160862
000852.SH,2021,丙,-0.0013938498796956119
000852.SH,2021,丁,-0.003810478526942202
000852.SH,2021,戊,0.0028227496075940786
000852.SH,2021,己,0.001963050063472401
000852.SH,2021,庚,0.00187811610293856
000852.SH,2021,辛,0.0006255305794777835
000852.SH,2021,壬,0.0007656400165547701
000852.SH,2021,癸,-6.534132682345221e-05
000852.SH,2022,甲,-0.0029000793979247425
000852.SH,2022,乙,-0.0019682425084485058
000852.SH,2022,丙,-0.00528001442431099
000852.SH,2022,丁,-0.0016720104989046637
000852.SH,2022,戊,0.0006515115344120361
000852.SH,2022,己,-0.002578403752300779
000852.SH,2022,庚,0.00228828544000706
000852.SH,2022,辛,0.0013838056559710731
000852.SH,2022,壬,0.007716634594088975
000852.SH,2022,癸,0.002358513357410538
000852.SH,2023,甲,-0.0013980435106155332
000852.SH,2023,乙,-0.0013446834995229943
000852.SH,2023,丙,-0.0007455442776139606
000852.SH,2023,丁,-0.0015193402538445397
000852.SH,2023,戊,0.0029821636486252537
000852.SH,2023,己,0.0010512228680622025
000852.SH,2023,庚,0.0004328611043443539
000852.SH,2023,辛,-0.0005917565109059668
000852.SH,2023,壬,0.0008984663557992031
000852.SH,2023,癸,0.00023465407567198142
000852.SH,2024,甲,0.0014918868530477947
000852.SH,2024,乙,0.0037089252840769955
000852.SH,2024,丙,-0.001840640232039683
000852.SH,2024,丁,0.004242236001722891
000852.SH,2024,戊,-0.002457139576327862
000852.SH,2024,己,-0.008741005276303265
000852.SH,2024,庚,-0.002949045172502985
000852.SH,2024,辛,0.006903325205001054
000852.SH,2024,壬,-0.003956287599682482
000852.SH,2024,癸,0.0035977445130075418
000852.SH,2025,甲,-0.0013144408513295805
000852.SH,2025,乙,-0.0007569095203635222
000852.SH,2025,丙,-0.002230958137657029
000852.SH,2025,丁,0.001503549315927468
000852.SH,2025,戊,-0.0016063028032404021
000852.SH,2025,己,0.00043330293836649247
000852.SH,2025,庚,0.001547092851515185
000852.SH,2025,辛,-0.00042375450674696615
000852.SH,2025,壬,-0.0016871885959423372
000852.SH,2025,癸,0.004535609309470691
