ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,hac_maxlags,formula
000852.SH,branch,未,金,78,-0.001502330789765785,0.00030398678501701993,-0.001806317574782805,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,未,水,81,-0.00033225014337228466,0.00030398678501701993,-0.0006362369283893045,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,申,木,82,0.00219773560884032,0.00030398678501701993,0.0018937488238233,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,申,火,38,0.00030996061553389395,0.00030398678501701993,5.973830516874015e-06,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,申,土,41,-0.00033894476797734154,0.00030398678501701993,-0.0006429315529943615,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,申,金,78,-0.0011196831094686147,0.00030398678501701993,-0.0014236698944856347,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,申,水,78,-0.0023244775156222256,0.00030398678501701993,-0.0026284643006392458,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,酉,木,83,0.0022264858706024437,0.00030398678501701993,0.0019224990855854238,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,酉,火,42,-0.0024881846700265495,0.00030398678501701993,-0.002792171455043569,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,酉,土,40,0.0013635600659319667,0.00030398678501701993,0.0010595732809149468,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,酉,金,81,0.0013777263070128434,0.00030398678501701993,0.0010737395219958235,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,酉,水,79,-4.214738522674418e-05,0.00030398678501701993,-0.00034613417024376413,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,戌,木,78,0.0005228363417897285,0.00030398678501701993,0.00021884955677270858,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,戌,火,41,-0.00041317921058119144,0.00030398678501701993,-0.0007171659955982114,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,戌,土,40,-0.0010622843099404506,0.00030398678501701993,-0.0013662710949574706,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,戌,金,83,0.0015189647074280793,0.00030398678501701993,0.0012149779224110593,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,戌,水,84,0.000564266298589943,0.00030398678501701993,0.0002602795135729231,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,亥,木,80,0.004285098481821837,0.00030398678501701993,0.003981111696804817,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,亥,火,42,0.00247401891725811,0.00030398678501701993,0.00217003213224109,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,亥,土,42,0.0027616378790787,0.00030398678501701993,0.0024576510940616803,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,亥,金,78,-0.0028240814378614203,0.00030398678501701993,-0.00312806822287844,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,亥,水,82,0.0011525909059184188,0.00030398678501701993,0.0008486041209013989,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
