ts_code,target,group_col,group_value,marginal_mean,marginal_effect_vs_all,marginal_mean_all,se_effect,z_effect,p_value_effect,q_value_effect,coef,p_value,q_value
000001.SH,up,ganzhi_day,丁丑,0.5088686765026784,-0.014113958839502394,0.5229826353421808,0.060775417464767584,-0.23223137624162707,0.8163583091041074,0.9765300647325655,,,
000001.SH,up,ganzhi_day,丁亥,0.6685874510448522,0.14560481570267136,0.5229826353421808,0.05709936608250377,2.550025082455113,0.01077151691780596,0.4272697927717873,0.675567840433358,0.06198491756612358,0.9755617386379967
000001.SH,up,ganzhi_day,丁卯,0.4191317561556178,-0.103850879186563,0.5229826353421808,0.06056343469080286,-1.7147455344426454,0.0863918912486498,0.7103306635391307,-0.3670422420704331,0.30120042915958667,0.9755617386379967
000001.SH,up,ganzhi_day,丁巳,0.4641948507994467,-0.05878778454273409,0.5229826353421808,0.05884221287294891,-0.9990750121799066,0.31775835483963233,0.9607525031129757,-0.18154200358852274,0.6007634417235939,0.9755617386379967
000001.SH,up,ganzhi_day,丁未,0.5556258905300366,0.032643255187855824,0.5229826353421808,0.060770379541167895,0.5371573360956581,0.5911589385781517,0.9765300647325655,0.19066176592484999,0.5898529429059246,0.9755617386379967
000001.SH,up,ganzhi_day,丁酉,0.5630334164577836,0.040050781115602785,0.5229826353421808,0.06085867445097507,0.6580948644858481,0.5104771756085735,0.9765300647325655,0.22114468200171533,0.5345334166056823,0.9755617386379967
000001.SH,up,ganzhi_day,丙午,0.37977893270159135,-0.14320370264058946,0.5229826353421808,0.058424433288824754,-2.451092712061976,0.014242326425726242,0.4272697927717873,-0.5334924861316019,0.13232043971010912,0.9755617386379967
000001.SH,up,ganzhi_day,丙子,0.4634434629332852,-0.05953917240889561,0.5229826353421808,0.060256525980852606,-0.9880950061378424,0.32310612127086324,0.9607525031129757,-0.18460712461562923,0.5811015015279215,0.9755617386379967
000001.SH,up,ganzhi_day,丙寅,0.4851275900679034,-0.03785504527427741,0.5229826353421808,0.06107530714547786,-0.6198093311935194,0.5353833245830796,0.9765300647325655,-0.09636509766279934,0.7840960648744713,0.9755617386379967
000001.SH,up,ganzhi_day,丙戌,0.5347352556207491,0.011752620278568271,0.5229826353421808,0.06048968199191558,0.19429132195039484,0.845947780247111,0.9765300647325655,0.10518771250725395,0.763344927174604,0.9755617386379967
000001.SH,up,ganzhi_day,丙申,0.5545474972263027,0.031564861884121886,0.5229826353421808,0.06246018244631558,0.50535974516648,0.6133061869707106,0.9765300647325655,0.1862327125705765,0.6039103252272626,0.9755617386379967
000001.SH,up,ganzhi_day,丙辰,0.4570378598912541,-0.0659447754509267,0.5229826353421808,0.06073598533451712,-1.085761185691168,0.2775846628356943,0.9607525031129757,-0.21076599290989764,0.5503401685721439,0.9755617386379967
