ts_code,target,group_col,group_value,marginal_mean,marginal_effect_vs_all,marginal_mean_all,se_effect,z_effect,p_value_effect,q_value_effect,coef,p_value,q_value
399001.SZ,ret_1d,stem,甲,-0.0006943948628127086,-0.0008231424895687714,0.00012874762675606276,0.0007299348422473255,-1.127693106188051,0.2594495500849877,0.6486238752124693,,,
399001.SZ,ret_1d,stem,乙,0.00021589775800969486,8.71501312536321e-05,0.00012874762675606276,0.0007500909395591295,0.1161860871227895,0.9075050629403901,0.9873000373716316,0.0009102926208224035,0.4158216649330596,0.44916484536829704
399001.SZ,ret_1d,stem,丙,-0.002210775198684484,-0.0023395228254405468,0.00012874762675606276,0.0008063506779283065,-2.9013714373643222,0.0037153319798396496,0.0371533197983965,-0.0015163803358717754,0.19301652446478135,0.44916484536829704
399001.SZ,ret_1d,stem,丁,0.0012449434696726216,0.001116195842916559,0.00012874762675606276,0.0007960504927393426,1.402167140272149,0.16086534161065702,0.5362178053688568,0.0019393383324853302,0.07796767423793349,0.37447706374850437
399001.SZ,ret_1d,stem,戊,0.0005872800733794185,0.0004585324466233557,0.00012874762675606276,0.0007496709953260731,0.611644907542294,0.5407727194895106,0.9873000373716316,0.001281674936192127,0.25014143501180586,0.44916484536829704
399001.SZ,ret_1d,stem,己,0.0003466005445699115,0.00021785291781384873,0.00012874762675606276,0.0006934268477393903,0.31416856518327946,0.7533930161798583,0.9873000373716316,0.0010409954073826201,0.3292036316578484,0.44916484536829704
399001.SZ,ret_1d,stem,庚,0.0001406588855814625,1.1911258825399754e-05,0.00012874762675606276,0.0007483020599387786,0.015917714868210007,0.9873000373716315,0.9873000373716316,0.0008350537483941712,0.44916484536829704,0.44916484536829704
399001.SZ,ret_1d,stem,辛,0.00018278412748446267,5.4036500728399915e-05,0.00012874762675606276,0.0006865775525678319,0.07870414715176859,0.9372679467652655,0.9873000373716316,0.0008771789902971712,0.3909480205644553,0.44916484536829704
399001.SZ,ret_1d,stem,壬,0.00033864803022453884,0.00020990040346847608,0.00012874762675606276,0.0007006074161168991,0.29959774709757486,0.7644840028394123,0.9873000373716316,0.0010330428930372475,0.33850507831228005,0.44916484536829704
399001.SZ,ret_1d,stem,癸,0.0011826568507404536,0.001053909223984391,0.00012874762675606276,0.0007226301009815715,1.4584352666085076,0.14472060584146262,0.5362178053688568,0.0018770517135531623,0.08321712527744542,0.37447706374850437
