day_group,k_indices_used,n_pass_p_interaction,min_pass_required,fisher_stat,fisher_df,p_meta_interaction,q_meta_interaction,pass_q,pass_p_count,pass_gate,p_interaction_000001.SH,p_interaction_000300.SH,p_interaction_000852.SH,p_interaction_399001.SZ
stem,4,0,3,10.00205092797951,8,0.2648819964438676,0.2648819964438676,False,False,False,0.23670815753838984,0.1495636046787787,0.6967458871705079,0.27287809506066557
branch,4,3,3,33.72018614517782,8,4.5653169918644156e-05,6.847975487796624e-05,True,True,True,0.0033065314650507047,0.006443441592587723,0.15119143131809787,0.014782125317139478
ganzhi_day,4,4,3,139.3570187343845,8,3.2283600397741995e-26,9.685080119322598e-26,True,True,True,3.4971654180864084e-07,1.3884502119954302e-06,7.319285046633357e-12,1.5427399550075376e-07
