ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,hac_maxlags,formula
399001.SZ,branch,未,金,78,-0.0006219481231851824,0.0001287476267560583,-0.0007506957499412407,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,未,水,81,-0.0006972746502533777,0.0001287476267560583,-0.000826022277009436,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,申,木,82,-0.00040578835310145126,0.0001287476267560583,-0.0005345359798575095,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,申,火,38,0.0007818739513579066,0.0001287476267560583,0.0006531263246018483,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,申,土,41,0.0006750722326327844,0.0001287476267560583,0.0005463246058767261,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,申,金,78,-0.0001253435241237814,0.0001287476267560583,-0.00025409115087983967,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,申,水,78,-0.0023342038188987864,0.0001287476267560583,-0.0024629514456548447,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,酉,木,83,0.0026445626608014713,0.0001287476267560583,0.002515815034045413,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,酉,火,42,-0.001787951297620172,0.0001287476267560583,-0.0019166989243762304,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,酉,土,40,0.0006128093002984178,0.0001287476267560583,0.0004840616735423595,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,酉,金,81,0.002158709257476536,0.0001287476267560583,0.002029961630720478,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,酉,水,79,-0.0009532030597918268,0.0001287476267560583,-0.001081950686547885,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,戌,木,78,0.0017360592791311863,0.0001287476267560583,0.001607311652375128,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,戌,火,41,0.0004449182447487768,0.0001287476267560583,0.00031617061799271847,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,戌,土,40,-0.0003458977021252219,0.0001287476267560583,-0.00047464532888128017,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,戌,金,83,0.0008728198747223265,0.0001287476267560583,0.0007440722479662682,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,戌,水,84,-0.0006026758644282988,0.0001287476267560583,-0.0007314234911843571,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,亥,木,80,0.00547445466738484,0.0001287476267560583,0.005345707040628782,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,亥,火,42,0.002831278260462509,0.0001287476267560583,0.002702530633706451,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,亥,土,42,0.0028258646477479824,0.0001287476267560583,0.002697117020991924,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,亥,金,78,-0.0037870752580063008,0.0001287476267560583,-0.003915822884762359,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,亥,水,82,0.00015293443601952213,0.0001287476267560583,2.4186809263463847e-05,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
