ts_code,maxlags,group_value,marginal_effect_vs_all,se_effect,z_effect,p_value_effect,q_value_effect
000001.SH,0,甲,-0.0006099831632270067,0.0005854908525186814,-1.041832097978924,0.2974895297900162,0.7437238244750405
000001.SH,0,乙,-4.7765685228517754e-05,0.0006041128012578133,-0.07906749390025433,0.9369789386512606,0.9494813351865152
000001.SH,0,丙,-0.0016125891220760914,0.0006494202940986302,-2.4831209260472864,0.013023686757556224,0.13023686757556224
000001.SH,0,丁,0.0006526351174637061,0.0006240771453831172,1.0457603235302864,0.29567170384676944,0.7437238244750405
000001.SH,0,戊,0.00014777522304582506,0.0006174301484919666,0.2393391761104577,0.8108425898320082,0.9494813351865152
000001.SH,0,己,-3.466065518161848e-05,0.0005305738154304979,-0.06532673526961667,0.947913856137416,0.9494813351865152
000001.SH,0,庚,0.0002188381658065687,0.0005967651510428686,0.36670734781369374,0.713837325076941,0.9494813351865152
000001.SH,0,辛,-3.4735696522225054e-05,0.0005482437962018734,-0.06335812053481887,0.9494813351865152,0.9494813351865152
000001.SH,0,壬,0.0002913356326329662,0.0005738414685100432,0.5076935854590777,0.6116682476297888,0.9494813351865152
000001.SH,0,癸,0.0010686404459049883,0.0006027481050454537,1.7729470021716638,0.07623748920389663,0.3811874460194831
000001.SH,1,甲,-0.0006099831632270067,0.0005883089862827995,-1.0368414854261438,0.2998097379495934,0.7495243448739836
000001.SH,1,乙,-4.7765685228517754e-05,0.0006068881852777481,-0.07870590726141306,0.93726654674388,0.9490072474624484
000001.SH,1,丙,-0.0016125891220760914,0.0006526507942256934,-2.4708299389863937,0.013479990567988369,0.1347999056798837
000001.SH,1,丁,0.0006526351174637061,0.0006248207089351127,1.044515823708849,0.2962468020619232,0.7495243448739836
000001.SH,1,戊,0.00014777522304582506,0.0006164706361691503,0.23971169813395227,0.8105537655206907,0.9490072474624484
000001.SH,1,己,-3.466065518161848e-05,0.0005264442705542624,-0.0658391725778047,0.9475058686717269,0.9490072474624484
000001.SH,1,庚,0.0002188381658065687,0.0005970578930090966,0.3665275484486971,0.7139714599836335,0.9490072474624484
000001.SH,1,辛,-3.4735696522225054e-05,0.0005431398285397703,-0.06395350643979063,0.9490072474624482,0.9490072474624484
000001.SH,1,壬,0.0002913356326329662,0.0005654874650419401,0.5151937941035686,0.6064176052241966,0.9490072474624484
000001.SH,1,癸,0.0010686404459049883,0.0005966853974206688,1.7909612846643654,0.07329950796798358,0.3664975398399179
000001.SH,3,甲,-0.0006099831632270067,0.0005932239495355612,-1.0282510739908028,0.3038317390813605,0.7595793477034013
000001.SH,3,乙,-4.7765685228517754e-05,0.0006169743606239428,-0.07741923858912475,0.9382900365330973,0.948654804945804
000001.SH,3,丙,-0.0016125891220760914,0.0006547059435838083,-2.4630739003970343,0.013775152019453514,0.13775152019453513
000001.SH,3,丁,0.0006526351174637061,0.0006345417106569628,1.0285141331182321,0.3037080461562406,0.7595793477034013
000001.SH,3,戊,0.00014777522304582506,0.000608564515240399,0.2428258949463226,0.8081402745751107,0.948654804945804
000001.SH,3,己,-3.466065518161848e-05,0.0005224890459668691,-0.06633757291022023,0.9471090702352857,0.948654804945804
000001.SH,3,庚,0.0002188381658065687,0.0005980070148763126,0.365945817294186,0.7144055067949165,0.948654804945804
000001.SH,3,辛,-3.4735696522225054e-05,0.0005394065158715876,-0.0643961381632517,0.948654804945804,0.948654804945804
000001.SH,3,壬,0.0002913356326329662,0.0005601543313384009,0.5200988662122195,0.6029946685958696,0.948654804945804
000001.SH,3,癸,0.0010686404459049883,0.0005931209488510707,1.8017243329122707,0.07158878775078834,0.3579439387539417
000001.SH,5,甲,-0.0006099831632270067,0.0005980223289541392,-1.0200006482931587,0.307728153283527,0.7729102763840598
000001.SH,5,乙,-4.7765685228517754e-05,0.0006185461406168682,-0.07722250951381186,0.9384465351100464,0.9486999215120286
000001.SH,5,丙,-0.0016125891220760914,0.0006532707031438209,-2.4684852914964894,0.01356862281849222,0.1356862281849222
000001.SH,5,丁,0.0006526351174637061,0.000641739947061485,1.0169775474506613,0.3091641105536239,0.7729102763840598
000001.SH,5,戊,0.00014777522304582506,0.0006042164713270313,0.24457331115331635,0.8067868311595588,0.9486999215120286
000001.SH,5,己,-3.466065518161848e-05,0.0005228872478908692,-0.06628705389436568,0.9471492900510153,0.9486999215120286
000001.SH,5,庚,0.0002188381658065687,0.0005984580345539591,0.3656700272554156,0.7146113141936283,0.9486999215120286
000001.SH,5,辛,-3.4735696522225054e-05,0.0005398815604168875,-0.06433947567203935,0.9486999215120286,0.9486999215120286
000001.SH,5,壬,0.0002913356326329662,0.0005557479973154993,0.5242225505809145,0.6001237580084362,0.9486999215120286
000001.SH,5,癸,0.0010686404459049883,0.000587658434723997,1.8184720626138753,0.06899201293994267,0.34496006469971335
000001.SH,10,甲,-0.0006099831632270067,0.0005710513961589307,-1.068175592126984,0.2854413125543318,0.8194588191347143
000001.SH,10,乙,-4.7765685228517754e-05,0.0006208633648072018,-0.07693429494483138,0.9386758149664507,0.9489237092435501
000001.SH,10,丙,-0.0016125891220760914,0.0006476189552095922,-2.4900276761575038,0.012773314820349076,0.12773314820349077
000001.SH,10,丁,0.0006526351174637061,0.0006669150164906229,0.9785881279116206,0.32778352765388574,0.8194588191347143
000001.SH,10,戊,0.00014777522304582506,0.0006233227799287534,0.23707656418832596,0.8125973932097447,0.9489237092435501
000001.SH,10,己,-3.466065518161848e-05,0.00052224149696588,-0.06636901774943231,0.9470840360540093,0.9489237092435501
000001.SH,10,庚,0.0002188381658065687,0.0005847333536339393,0.3742529213470657,0.7082161544436767,0.9489237092435501
