ts_code,target,group_col,group_value,marginal_mean,marginal_effect_vs_all,marginal_mean_all,se_effect,z_effect,p_value_effect,q_value_effect,coef,p_value,q_value
000852.SH,up,branch,子,0.5883115847087736,0.04336776448405821,0.5449438202247154,0.025561669873060043,1.696593559787906,0.08977352823806083,0.41629149090079065,,,
000852.SH,up,branch,丑,0.5303535064035191,-0.014590313821196355,0.5449438202247154,0.026166904894803597,-0.5575865345883455,0.5771267534850268,0.8656901302275403,-0.23931535257564013,0.123370197204603,0.35029273828992047
000852.SH,up,branch,寅,0.5714310973169833,0.026487277092267836,0.5449438202247154,0.02630542372896207,1.0069131508839961,0.31397651169612995,0.7535436280707118,-0.07042684269852574,0.6536991124046472,0.7190690236451119
000852.SH,up,branch,卯,0.5843669163559484,0.03942309613123296,0.5449438202247154,0.025816727444627662,1.5270369265736163,0.1267518293498375,0.41629149090079065,-0.016527379115103005,0.9172446834518159,0.9172446834518159
000852.SH,up,branch,辰,0.5062583655784149,-0.03868545464630058,0.5449438202247154,0.02613157939434232,-1.4804101222705377,0.13876383030026354,0.41629149090079065,-0.3374709345567601,0.034827815328947305,0.19155298430921017
000852.SH,up,branch,巳,0.5344535449972762,-0.010490275227439283,0.5449438202247154,0.02637115952177241,-0.39779347657346503,0.6907824262599545,0.9210432350132726,-0.2225697230147738,0.17255084507927565,0.35029273828992047
000852.SH,up,branch,午,0.5014512706226794,-0.04349254960203608,0.5449438202247154,0.026342411839412622,-1.6510466037496234,0.09872905912414211,0.41629149090079065,-0.35702592525600246,0.027050807992104076,0.19155298430921017
000852.SH,up,branch,未,0.5614088558874499,0.016465035662734495,0.5449438202247154,0.026054443663781297,0.6319473129116476,0.5274213056896754,0.8656901302275403,-0.11190919834872085,0.47449599053847435,0.5799395439914687
000852.SH,up,branch,申,0.5410537406326055,-0.003890079592109963,0.5449438202247154,0.026548551188995764,-0.14652700120684478,0.8835053760682912,0.9867332553020253,-0.19557288529431976,0.21860665072775043,0.35029273828992047
000852.SH,up,branch,酉,0.5453722451213758,0.0004284248966603954,0.5449438202247154,0.02576501367494685,0.016628164924165488,0.9867332553020252,0.9867332553020253,-0.1778783086027196,0.24525515310163226,0.35029273828992047
000852.SH,up,branch,戌,0.5457365972513378,0.0007927770266223932,0.5449438202247154,0.026346493159677076,0.03009041931378279,0.9759949415527865,0.9867332553020253,-0.17638420462350884,0.25475835511994216,0.35029273828992047
000852.SH,up,branch,亥,0.5291041712216568,-0.015839649003058676,0.5449438202247154,0.026520768245921044,-0.5972545310973354,0.5503374566243817,0.8656901302275403,-0.24441462514723009,0.13374501248530146,0.35029273828992047
