ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,hac_maxlags,formula
000001.SH,branch,子,木,83,0.0033962704274132925,0.0001341575148580013,0.003262112912555291,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,子,火,40,-0.0008793816290039317,0.0001341575148580013,-0.001013539143861933,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,子,土,44,-0.0026537162751657318,0.0001341575148580013,-0.0027878737900237332,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,子,金,78,0.001740604956407685,0.0001341575148580013,0.0016064474415496837,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,子,水,80,0.001651606381385614,0.0001341575148580013,0.0015174488665276127,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,丑,木,83,0.0016053973602130692,0.0001341575148580013,0.001471239845355068,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,丑,火,40,0.0009072020757120011,0.0001341575148580013,0.0007730445608539998,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,丑,土,44,0.001277421742411168,0.0001341575148580013,0.0011432642275531668,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,丑,金,79,-0.0010715756667118875,0.0001341575148580013,-0.0012057331815698887,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,丑,水,82,-0.0013874109555032572,0.0001341575148580013,-0.0015215684703612585,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,寅,木,83,-0.004391056004156091,0.0001341575148580013,-0.004525213519014092,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,寅,火,42,0.001471260003551971,0.0001341575148580013,0.0013371024886939698,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,寅,土,42,-0.0004548454987876334,0.0001341575148580013,-0.0005890030136456347,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,寅,金,83,0.0005445881703866948,0.0001341575148580013,0.00041043065552869354,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,寅,水,80,0.001080419306183371,0.0001341575148580013,0.0009462617913253697,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,卯,木,81,0.003366635843214082,0.0001341575148580013,0.0032324783283560806,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,卯,火,44,-0.0012340519542193807,0.0001341575148580013,-0.001368209469077382,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,卯,土,41,-0.0007840065455970215,0.0001341575148580013,-0.0009181640604550228,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,卯,金,85,0.0011065451972717035,0.0001341575148580013,0.0009723876824137023,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,卯,水,81,-0.00011121268217406617,0.0001341575148580013,-0.0002453701970320675,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,辰,木,82,-0.004243267206915041,0.0001341575148580013,-0.004377424721773042,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,辰,火,42,0.0015070508000815026,0.0001341575148580013,0.0013728932852235013,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,辰,土,42,-0.00021168403350402287,0.0001341575148580013,-0.00034584154836202413,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,辰,金,84,-0.0021946369752000256,0.0001341575148580013,-0.002328794490058027,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,辰,水,83,-0.00026776650733578657,0.0001341575148580013,-0.00040192402219378783,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,巳,木,81,0.00035525120864468487,0.0001341575148580013,0.00022109369378668357,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,巳,火,42,-0.0007183326651000187,0.0001341575148580013,-0.00085249017995802,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,巳,土,42,0.00021451899477881926,0.0001341575148580013,8.036147992081797e-05,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,巳,金,82,0.0010523827043343805,0.0001341575148580013,0.0009182251894763792,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000001.SH,branch,巳,水,80,-0.0016266747977318984,0.0001341575148580013,-0.0017608323125898996,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
