ts_code,oos_year,stem,oos_effect,train_years
399001.SZ,2024,甲,0.0015879862186502164,3
399001.SZ,2024,乙,0.005086860837400847,3
399001.SZ,2024,丙,-0.003950889910357816,3
399001.SZ,2024,丁,0.002626398600605883,3
399001.SZ,2024,戊,-0.0038134454390278054,3
399001.SZ,2024,己,-0.0032702624271348573,3
399001.SZ,2024,庚,-0.0016419168591974456,3
399001.SZ,2024,辛,0.006172159433018484,3
399001.SZ,2024,壬,-0.004283343286213986,3
399001.SZ,2024,癸,0.0014864528322564782,3
399001.SZ,2025,甲,-0.0022861893910435228,3
399001.SZ,2025,乙,-0.0007161869725333974,3
399001.SZ,2025,丙,-0.002208733411243618,3
399001.SZ,2025,丁,0.002010070990516803,3
399001.SZ,2025,戊,-0.0021548034361640826,3
399001.SZ,2025,己,0.0016683794994269174,3
399001.SZ,2025,庚,0.00047686231927508813,3
399001.SZ,2025,辛,-4.777494211702371e-05,3
399001.SZ,2025,壬,-0.0011579836560975773,3
399001.SZ,2025,癸,0.004416358999980412,3
399001.SZ,2015,甲,-0.006575962267252416,5
399001.SZ,2015,乙,0.0031056374943212307,5
399001.SZ,2015,丙,-0.001050596086169365,5
399001.SZ,2015,丁,0.015230333014200667,5
399001.SZ,2015,戊,0.0011895521687998339,5
399001.SZ,2015,己,-0.0010334149358109084,5
399001.SZ,2015,庚,-0.001996825664211296,5
399001.SZ,2015,辛,0.0024800833935325023,5
399001.SZ,2015,壬,-0.0016157908175234122,5
399001.SZ,2015,癸,-0.009733016299886833,5
399001.SZ,2016,甲,0.0016966047244699372,5
399001.SZ,2016,乙,0.0011132506891685314,5
399001.SZ,2016,丙,-0.001251515293267239,5
399001.SZ,2016,丁,-0.0036168641870480277,5
399001.SZ,2016,戊,-0.000477669134618417,5
399001.SZ,2016,己,0.002416478928493391,5
399001.SZ,2016,庚,-0.0004967713263157545,5
399001.SZ,2016,辛,-0.0025748925389482537,5
399001.SZ,2016,壬,-0.002573472039125149,5
399001.SZ,2016,癸,0.005764850177190982,5
399001.SZ,2017,甲,0.0009675989299317471,5
399001.SZ,2017,乙,-0.0037714850667888242,5
399001.SZ,2017,丙,-0.0016520567805875055,5
399001.SZ,2017,丁,0.0036486308691755214,5
399001.SZ,2017,戊,-0.002099468911256716,5
399001.SZ,2017,己,0.0007217359044165421,5
399001.SZ,2017,庚,0.0003102682162524744,5
